hello;happy;Olá.
daga_kotowaru;annoyed;Mas eu recuso.
devilish_pervert;angry;Nunca pensei que fosses do tipo pervetido. Acho que te julguei mal.
nice;winking;Boa.
pervert_confirmed;pissed;PERVERTIDO CONFIRMADO.
sounds_tough;sided_worried;Parece difícil.
hopeless;disappointed;Este homem é inútil, melhor fazer algo depressa.
christina;annoyed;Christina?
gah;indifferent;Gah.
no_tina;angry;Não adiciones -tina!
why_christina;pissed;Tou preocupada. Porque é que o meu nome é Christina?
can_i_help;happy;Um, posso te ajudar com isso?
what_do_you want;happy;O que é que queres?
what_is_it;happy;O que é que foi?
ok;happy;Ok.
still_not_happy;blush;Continuo a não concordar.
dont_tell;blush;Senpai, por favor, não conte a ninguém…
dont_call;angry;Não me chames assim!
are_you_sure;sided_worried;Tens a certeza?
why_say_that;sided_worried;Huh? Porque é que dizes isso?
tm_nonsense;disappointed;Isso é pura idiotice.
tm_no_evidence;normal;Isso deve-se ao facto que os cientistas ainda não descobriram algo importante.
tm_dont_know;normal;We don't know for sure if it's possible.
tm_you_say;annoyed;Uma máquina do tempo?
tm_not_possible;annoyed;Deixa ver… A minha conclusão é que é impossível.
pervert_confirmed;angry;PERVERT CONFIRMED.
pervert_idiot;angry;Seu perverido! És idiota!? Tens um desejo de morte?!
